,COST,DATE,END TIME,NOTES,START TIME,TYPE,UNITS,USAGE,file_ID,filename
0,,5/24/14,0:59,,0:00,Electric usage,kWh,0.04,0,green_button_files/elec_hourly_2014-05-24_2014-05-31.csv
1,,5/24/14,1:59,,1:00,Electric usage,kWh,0.07,0,green_button_files/elec_hourly_2014-05-24_2014-05-31.csv
2,,5/24/14,2:59,,2:00,Electric usage,kWh,0.04,0,green_button_files/elec_hourly_2014-05-24_2014-05-31.csv
3,,5/24/14,3:59,,3:00,Electric usage,kWh,0.04,0,green_button_files/elec_hourly_2014-05-24_2014-05-31.csv
4,,5/24/14,4:59,,4:00,Electric usage,kWh,0.05,0,green_button_files/elec_hourly_2014-05-24_2014-05-31.csv
5,,5/24/14,5:59,,5:00,Electric usage,kWh,0.06,0,green_button_files/elec_hourly_2014-05-24_2014-05-31.csv
6,,5/24/14,6:59,,6:00,Electric usage,kWh,0.04,0,green_button_files/elec_hourly_2014-05-24_2014-05-31.csv
7,,5/24/14,7:59,,7:00,Electric usage,kWh,0.04,0,green_button_files/elec_hourly_2014-05-24_2014-05-31.csv
8,,5/24/14,8:59,,8:00,Electric usage,kWh,0.45,0,green_button_files/elec_hourly_2014-05-24_2014-05-31.csv
9,,5/24/14,9:59,,9:00,Electric usage,kWh,0.06,0,green_button_files/elec_hourly_2014-05-24_2014-05-31.csv
10,,5/24/14,10:59,,10:00,Electric usage,kWh,0.04,0,green_button_files/elec_hourly_2014-05-24_2014-05-31.csv
11,,5/24/14,11:59,,11:00,Electric usage,kWh,0.04,0,green_button_files/elec_hourly_2014-05-24_2014-05-31.csv
12,,5/24/14,12:59,,12:00,Electric usage,kWh,0.06,0,green_button_files/elec_hourly_2014-05-24_2014-05-31.csv
13,,5/24/14,13:59,,13:00,Electric usage,kWh,0.11,0,green_button_files/elec_hourly_2014-05-24_2014-05-31.csv
14,,5/24/14,14:59,,14:00,Electric usage,kWh,0.27,0,green_button_files/elec_hourly_2014-05-24_2014-05-31.csv
15,,5/24/14,15:59,,15:00,Electric usage,kWh,0.46,0,green_button_files/elec_hourly_2014-05-24_2014-05-31.csv
16,,5/24/14,16:59,,16:00,Electric usage,kWh,0.21,0,green_button_files/elec_hourly_2014-05-24_2014-05-31.csv
17,,5/24/14,17:59,,17:00,Electric usage,kWh,0.13,0,green_button_files/elec_hourly_2014-05-24_2014-05-31.csv
18,,5/24/14,18:59,,18:00,Electric usage,kWh,1.48,0,green_button_files/elec_hourly_2014-05-24_2014-05-31.csv
19,,5/24/14,19:59,,19:00,Electric usage,kWh,0.05,0,green_button_files/elec_hourly_2014-05-24_2014-05-31.csv
20,,5/24/14,20:59,,20:00,Electric usage,kWh,0.47,0,green_button_files/elec_hourly_2014-05-24_2014-05-31.csv
21,,5/24/14,21:59,,21:00,Electric usage,kWh,0.05,0,green_button_files/elec_hourly_2014-05-24_2014-05-31.csv
22,,5/24/14,22:59,,22:00,Electric usage,kWh,0.36,0,green_button_files/elec_hourly_2014-05-24_2014-05-31.csv
23,,5/24/14,23:59,,23:00,Electric usage,kWh,0.07,0,green_button_files/elec_hourly_2014-05-24_2014-05-31.csv
24,,5/25/14,0:59,,0:00,Electric usage,kWh,0.09,0,green_button_files/elec_hourly_2014-05-24_2014-05-31.csv
